title,date_posted,price,location,link
,,,,
2 Surfboards,8/26/2020 10:48,$150 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-2-surfboards/7183112794.html
,,,,
"SUPS, Surfboards, Longboard,  Paddles",8/25/2020 13:06,$85 , (Haleiwa),https://honolulu.craigslist.org/oah/spo/d/haleiwa-sups-surfboards-longboard/7171589543.html
,,,,
6’9” Alex Knost Single fin,8/25/2020 8:33,$850 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-69-alex-knost-single-fin/7184137686.html
,,,,
J. RICHARDSON SUP,8/24/2020 18:06,$700 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-richardson-sup/7183807342.html
,,,,
6’5” Tokoro thruster surfboard and 6’1” surfboards for Sale,8/24/2020 15:23,$250 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/kailua-65-tokoro-thruster-surfboard-and/7179981837.html
,,,,
Shakarider Surfboards Custom Made Longboard - Brand New,8/24/2020 14:27,$950 , (Waikiki),https://honolulu.craigslist.org/oah/spo/d/honolulu-shakarider-surfboards-custom/7183727274.html
,,,,
Used Surfboards,8/24/2020 11:41,$180 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-used-surfboards/7171747052.html
,,,,
Lost Uber Driver Mayhem,8/24/2020 8:34,$500 , (Kaneohe),https://honolulu.craigslist.org/oah/spo/d/kaneohe-lost-uber-driver-mayhem/7183494811.html
,,,,
MONSTA BOX  HYFI,8/24/2020 8:33,$600 , (Kaneohe),https://honolulu.craigslist.org/oah/spo/d/kaneohe-monsta-box-hyfi/7183493847.html
,,,,
7'10 Epoxy Funboard Mini Longboard,8/23/2020 11:31,$150 , (Kailua),https://honolulu.craigslist.org/oah/spo/d/710-epoxy-funboard-mini-longboard/7181376315.html
,,,,
Surfboards for sale,8/21/2020 16:29,$200 , (Honolulu),https://honolulu.craigslist.org/oah/spo/d/honolulu-surfboards-for-sale/7181954778.html
,,,,
"Stretch, BAT, HIC Surfboards",8/21/2020 7:20,$100 , (Kaimuki),https://honolulu.craigslist.org/oah/spo/d/honolulu-stretch-bat-hic-surfboards/7178312295.html
,,,,
